Query,Engine,Title,Content,Date
Vessel caught misreporting catch amount,Google,Sea Shepherd Global," Wednesday, 05 Jun, 2024 Sea Shepherd Global stands at the forefront of the fight against Illegal, Unreported, and Unregulated (IUU) fishing, deploying innovative strategies and international collaborations to protect marine biodiversity.  Illegal, Unreported, and Unregulated (IUU) fishing refers to fishing activities that do not comply with national, regional, or international fisheries conservation and management laws and regulations. These activities are conducted by vessels in various ways, including: 
In 2015, the United Nations General Assembly highlighted the grave issue of IUU fishing, recognizing it as a major threat on multiple levels: Threat to Marine Wildlife and Ecosystems: IUU fishing severely impacts marine biodiversity. It decimates fish populations, disrupts food chains, and results in high bycatch rates, where non-target species like dolphins, sharks, and turtles are unintentionally caught and killed. Bycatch from IUU fishing can be extensive, with hundreds of thousands of marine animals, including endangered species, being discarded dead or dying. This indiscriminate fishing threatens the survival of many marine species and disrupts the balance of ocean ecosystems. Economic Impact: IUU fishing costs developing nations between $2 to $15 billion in economic losses annually. This economic strain threatens coastal economies that rely heavily on fishing for their livelihoods. Threat to Coastal Communities: Millions of people in low-income countries depend on fish as their primary source of protein and fishing as their main livelihood. IUU fishing reduces the availability of fish for local consumption and economic activities. This leads to food insecurity and increased poverty among coastal populations. For example, the depletion of local fish populations forces fishers to travel further and spend more time at sea, oftentimes out of sight of land, putting their lives at risk. Human Rights Violations: IUU fishing often involves human rights abuses, including forced labor and human trafficking. Fishermen working on illegal vessels may face deplorable conditions, including long hours, low or no pay, physical abuse, and lack of safety measures. These conditions violate basic human rights and labor standards. Reports have documented cases where crew members are subjected to inhumane treatment, confined on vessels for months or even years, and denied access to medical care. Undermining Conservation Efforts: IUU fishing makes it difficult to collect accurate data on fish populations, hindering effective management and conservation strategies. This unregulated exploitation of the ocean jeopardizes global efforts to achieve sustainable development goals, particularly those related to life below water (SDG 14). Global Security Concerns: The illicit nature of IUU fishing contributes to broader security issues. It is often linked with other forms of transnational organized crime, such as drug trafficking and smuggling. The lack of regulation and oversight in international waters allows these illegal activities to flourish, posing a significant threat to global maritime security. Furthermore, the illegal profits from IUU fishing can fuel corruption and undermine governance in coastal states. 
While international agreements and Regional Fisheries Management Organizations (RFMOs) provide essential frameworks for cooperation and regulation, these frameworks are ineffective without robust monitoring and enforcement practices. About 75% of the world’s industrial fishing vessels are not publicly tracked, according to research by conservation organization Global Fishing Watch (GFW), making it difficult for authorities to monitor their activities. IUU fishing vessels equipped with the required Automatic Identification Systems (AIS) can turn it off to avoid detection, making it challenging to track them without advanced satellite technology. Finally, many countries lack the resources to conduct regular at-sea patrols throughout their waters, which are crucial for monitoring fishing activities and enforcing regulations. The countries Sea Shepherd partners with need assistance in patrolling their waters. Often these countries receive complaints from coastal fishers who find their waters plundered by these trawlers, yet find their hands are tied because they don't have the vessel asset to intercept the law breakers. To protect local fishers' livelihoods, West African governments have established Inshore Exclusion Zones (IEZs) reserved for artisanal fishing, where industrial fishing is outlawed. However, without regular patrols, industrial trawlers routinely violate these IEZs, damaging canoes, destroying small-scale fishing nets, and stealing fish from vulnerable communities. Sea Shepherd steps in to help the countries fill these enforcement gaps through a multi-faceted approach that combines international cooperation, advanced technology, capacity building, and direct enforcement. 1. Partnerships with Governments for At-Sea Patrols: We partner with countries to enhance their capacity to enforce existing fisheries regulations and deter IUU fishing within their EEZ. Sea Shepherd has a fleet of well-equipped vessels staffed with experienced crews and volunteers, including captains, marine engineers, deckhands, and media teams. Government officials join our crews during at-sea patrols to conduct inspections and enforce regulations with the power of arrest, escorting them back to port for justice. These patrols not only establish a law enforcement presence at sea, they also illuminate where laws need to be amended and fines increased to deter illegal actors. 2. Advanced Monitoring Technologies: Collaborations with organizations like Global Fishing Watch and Skylight enhance our ability to monitor vast ocean areas through the use of Vessel Monitoring Systems (VMS), AIS, and satellite imagery to track fishing vessel movements and identify suspicious activities such as ""dark vessels"" that turn off their transponders to avoid surveillance. This allows us and our partners to target enforcement efforts more effectively. 3. Training and Capacity Building: We provide training for local law enforcement officials in surveillance techniques, boarding procedures, marine conservation issues, and legal protocols for prosecuting offenders. This empowers local authorities to sustain enforcement and conservation efforts independently. 4. Public Awareness: While it’s incredibly important to be on the frontlines using direct action to combat IUU fishing, it’s also crucial to document it. Not many people, including lawmakers, let alone the public, have the access that we do. Our social media reach, documentaries, and press coverage raise awareness on the issues of IUU fishing and its impacts on marine ecosystems and coastal communities, mobilizing public support for stronger regulations and empowering consumers to make more informed decisions. We’ve been featured on prominent platforms and documentaries such as Netflix's ""Seaspiracy,"" Animal Planet's ""Ocean Warriors,"" National Geographic's ""Trafficked with Mariana van Zeller,"" and Sir David Attenborough's ""A Perfect Planet.” Our stories have also been featured in publications like The New York Times and The New Yorker, shining an important spotlight on what’s really happening at sea, and previously hidden from public scrutiny. 5. Advocacy for Policy Change: Advocating for stronger national and international policies is crucial. Engaging with policymakers, stakeholders, and international bodies to push for stricter regulations, higher penalties for offenders, and increased funding for enforcement can drive significant changes. Sea Shepherd's collaboration with governments to amend and enforce fishing laws exemplifies the impact of sustained advocacy efforts. Our work in Africa began in 2016 with a partnership in Gabon to combat IUU fishing. This successful collaboration validated our strategy and paved the way for further partnerships. Since then, we have partnered with the governments of Liberia, Sierra Leone, São Tomé and Príncipe, Tanzania, Benin, Namibia, and The Gambia. Recently, we extended our IUU partnerships outside of Africa to include Tuvalu in the South Pacific. As of 2024, Sea Shepherd has assisted our partners across Africa in the arrest of 98 vessels. More importantly, these patrols have proven to be a powerful deterrent to further incursions of IUU operators. James Logan, one of the local fishermen in Liberia, said about Sea Shepherd’s presence: “When the big boat shows up, the trawlers leave.” This method of deterrence has been proven in anti-poaching efforts on land, but we are the only organization that has brought it to the sea. It’s hard to overstate just how impactful even a day is being on patrol in previously unpatrolled waters - every single day that an arrested vessel is detained in port or refrains from fishing out of fear of arrest, their nets are not in the water, which equates to tens of thousands of fish remaining in the water per day, per trawler. Here are just a few of the notable results from our patrols: 1. Gabon - Suspension of Shrimp Fishery: In 2021, the Minister of Fisheries in Gabon joined us aboard to witness firsthand what was happening at sea. During one boarding, a shrimp fishing boat had an estimated catch of 0.2% shrimp to 99.8% bycatch by weight, with most of the bycatch being thrown overboard dead. This prompted the Minister to immediately suspend the entire shrimp fishery in Gabon to allow the waters to recover. 2. Liberia – A Half Million Sharks Per Year Saved: One of the significant successes in our campaign with the Liberian Coast Guard was the arrest of the internationally-blacklisted vessel Labiko 2 in 2017. This vessel, which had been using prohibited deep-water gillnets, was found with a shark liver oil production facility on board capable of processing over 500,000 sharks per year. This operation highlighted the devastating impact of the unregulated shark liver oil industry and demonstrated the effectiveness of our joint patrol efforts. In 2019 Sea Shepherd Global was awarded the Distinguished Service Order (DSO), the highest military award given by the Ministry of National Defense and the Armed Forces of Liberia, recognizing exceptional service to the Republic of Liberia. 3. Benin - Record Penalties for Illegal Fishing: We began working in Benin in 2019, assisting the government with the arrest of three ships fishing illegally inside a marine park. These were the first arrests in Benin for illegal fishing, and the perpetrators were prosecuted and given the maximum penalty of a $50,000 fine. This case spurred legal reforms, increasing penalties for IUU fishing to over $1,000,000. Two years later, we assisted in the arrest of another two ships, which were prosecuted under the amended law. Each ship was fined over $250,000, and the captains were sentenced to 11 months of imprisonment. Since then, no further cases of illegal fishing have been detected in Benin. 4. The Gambia - Deterrence of Illegal Fishing: The Gambia's waters have been particularly vulnerable to IUU fishing activity. Out of the 98 vessels arrested for illegal fishing through our partnerships across Africa, 34 were apprehended in The Gambia. In early 2024 we assisted in the arrest of eight industrial trawlers, seven which were fishing inside of a Special Management Area reserved for artisanal fishermen (and where industrial fishing is outlawed), four which were using fishing nets with undersized mesh size, and all which had stopped transmitting their positions via the mandatory Automatic Identification System (AIS). In past patrols, vessels were found with hidden shark fins onboard, using illegal nets, and falsely labelling boxes of fish for export to the European market as “Sustainable Certified”. 5. Sierra Leone – Mass Exodus of Illegal Fishing Vessels: During our patrol in Sierra Leone in 2023, we saw 70 ships head back to port the moment we started patrolling, as they knew they wouldn’t pass a boarding. “I remember watching a parade of ships—dozens and dozens of them—filing into the Port of Freetown, because inspections were underway. The combined fishing efforts of seventy ships ground to a stop for the duration of the mission. It is the belief of Sea Shepherd Global that none of them had valid fishing licenses,” said Captain Peter Hammarstedt. 
We approach our relationships with care, sensitivity, and a service-oriented mentality, which has led to our partner governments advocating on our behalf to new potential partners. This continued patience and trust are crucial for achieving our goal of being a leading voice in conservation and legislative reform. Sea Shepherd strategically partners with countries based on several criteria to ensure our efforts have the greatest impact. We assess the potential partner's Exclusive Economic Zone (EEZ), considering factors such as the prevalence of illegal fishing, the importance of their biodiversity, and economic impact on coastal communities. We evaluate the country's commitment to conservation and willingness to engage in partnership, prioritizing strong political will and collaboration readiness. We also consider whether partnering with the country would allow us to great impact on future conservation policies and create protected areas, leading to broader conservation efforts and policy reforms. Finally, we assess whether the partnership would open doors to other high-impact areas, encouraging neighboring countries to collaborate with us. 
Sea Shepherd’s successful track record in reducing IUU fishing activities in collaboration with various governments demonstrates the effectiveness of our approach. However, to continue and expand our critical work, we require additional funds. This is how your support can make a profound difference in our fight against illegal fishing and its devastating impacts on marine ecosystems and coastal communities: 1. Expanding Our Reach: Your contribution will enable us to extend our operations to new regions heavily impacted by IUU fishing. By reaching more vulnerable areas, we can protect vital marine ecosystems and support coastal communities. 2. Enhancing Our Fleet and Technology: Donations will allow us to maintain and upgrade our vessels, equipping them with the latest technology for tracking and surveillance. This advanced equipment will significantly improve our ability to detect and respond to illegal activities, ensuring more effective enforcement. 3. Increasing Patrols and Capacity Building: With your support, we can increase the frequency and duration of our patrols, providing a consistent enforcement presence that deters illegal operators. Additionally, we can enhance our training and capacity-building programs, empowering local enforcement officials with the skills and knowledge needed to sustain anti-IUU fishing efforts independently. 4. Supporting New Partnerships: Establishing new partnerships requires initial investment in relationship-building, legal agreements, and logistical planning. Your funds will help us forge new collaborations with governments committed to combating IUU fishing, broadening our impact, and promoting sustainable fisheries management worldwide. This is how you can join us in protecting our oceans and ensuring a sustainable future for all marine life and coastal communities. Your donation can be the decisive factor in our continued fight against IUU fishing. Together, we can turn the tide and secure a healthier, more abundant ocean for generations to come. CLICK HERE TO DISCOVER THE DIFFERENT WAYS YOU CAN CONTRIBUTE Monday, 17 Jun, 2024 Monday, 03 Jun, 2024 Monday, 25 Mar, 2024 Thursday, 07 Dec, 2023 Friday, 27 Oct, 2023 Tuesday, 26 Sep, 2023 Wednesday, 13 Sep, 2023 Thursday, 31 Aug, 2023 Monday, 28 Aug, 2023 Get Involved Contribute Shop",2024-06-05
Vessel caught misreporting catch amount,Google,New rules tighten controls on EU…," Today, the Environmental Justice Foundation commends the European Commission for approving new rules that require stricter controls for landings by EU fishing vessels, providing new tools to prevent significant misreporting of unsorted catches when landing in selected ports, including those in third countries. It is welcome that the new rules require advanced and stricter control tools, such as CCTV to monitor landings, and set minimum benchmarks for the rates of inspection on trans-shipments. If properly implemented, this can increase transparency and accuracy in reporting by EU fleets that catch a large number of species, including those that have been overfished, such as yellowfin tuna in the Indian Ocean. Sean Parramore, Senior EU Advocacy Officer at the Environmental Justice Foundation, said: ""Stricter control measures on landings by EU vessels that have more leeway to misreport their catches are critical to prevent hidden overfishing. In the long run, everyone loses if we open the door to fish fraud. Fish stocks will collapse and the EU's credibility in its efforts to promote sustainable fisheries on the world stage will be severely undermined. These new rules can help prevent that.“ A first list of ports is to be adopted by July 2024, following input from EU Member States. Sean Parramore added: “When selecting ports, it is crucial that there is sufficient evidence that the conditions approved today are actually in place. This will be key for the EU to continue leading by example in fighting unreported fishing globally.” ENDS Notes to editors EJF works internationally to inform policy and drive systemic, durable reforms to protect our environment and defend human rights. We investigate and expose abuses and support environmental defenders, Indigenous peoples, communities, and independent journalists on the frontlines of environmental injustice. Our campaigns aim to secure peaceful, equitable, and sustainable futures. Our investigators, researchers, filmmakers, and campaigners work with grassroots partners and environmental defenders across the globe. Our work to secure environmental justice aims to protect our global climate, ocean, forests, and wildlife and defend basic human rights. For more information or to speak to one of our expert staff, please email media@ejfoundation.org.   Environmental Justice Foundation Charitable Trust (EJF) is a registered charity in England and Wales (no. 1088128). Environmental Justice Foundation Limited is a not-for-profit trading company limited by guarantee registered in England (no. 0385 3159) © EJF 2024. Website by Mud",2024-05-24
Vessel caught misreporting catch amount,Google,"N.S. boat captain, 2 companies fined $125K for fisheries violations"," A boat captain from Sambro, N.S., with a history of fishery convictions has been fined $60,000 and banned from fishing for six months for five violations that included a secret, middle-of-the-night offload of halibut. The case involved misreporting of halibut, hake and cod catch from trips on board the fishing boat Ivy Lew between May 2019 and June 2020. Casey Henneberry, 40, and ALS Fisheries and Law Fisheries were found guilty last October by Halifax provincial court Judge Elizabeth Buckle. The sentence was handed down in court last month and posted this week. ""Mr. Henneberry's offending conduct is that he inaccurately logged and hailed weight of groundfish on four trips over approximately one year and on one of those trips, he illegally off-loaded $40,000 worth of halibut, intending to sell it,"" Buckle said in her written sentence. On that trip, DFO officers were observing the Ivy Lew and intercepted the illegal off-load in Sambro. During the attempted arrests of those involved, Henneberry fled and was arrested later, the judge noted in sentencing. During this period the groundfish licence was held first by Law Fisheries and then ALS Fisheries. The companies were fined $55,000 and $10,000 respectively for failing to ensure licence conditions were complied with. ALS Fisheries owns the Ivy Lew, which has been held for the past three years by the Department of Fisheries and Oceans, likely as security on any fine. The company has continued to pay on the $1-million mortgage on the vessel. Henneberry is a lifelong fisherman with hundreds of trips as a captain. He does not own any fishing business, but earns $150,000 a year as a captain — money used to pay child support and for therapy and assistance for a child with developmental challenges. Henneberry has three prior convictions for failing to observe licence conditions, including failing to hail out (or provide notification a trip is underway), possession of undersized halibut and several other instances of misreporting. The crown wanted a fine of $140,000 and a two-year licence suspension for Henneberry. Buckle said the fact that he is financially responsible for his family and fully engaged in his child's life is a mitigating factor. He has five years to pay the fine. In her decision, Buckle said in 2019, ALS had four directors who were all related to Henneberry. Each of its four directors have prior convictions for Fisheries Act offences. Two are also directors of Law Fisheries. The Crown did not allege prior record for either company. Buckle said both companies' ""annual quota for groundfish is a significant share of the fleet allowance and has substantial value."" The Crown argued their corporate conduct appeared intentional and at the very least amounted to gross negligence. It sought a fine of $30,000 for ALS and $180,000 for Law. Buckle acknowledged the lack of diligence by the companies, which failed ""to do anything to oversee their licences in circumstances where they should have been extra vigilant. ""However, I am not persuaded that they were involved in a deliberate effort to thwart the regulations, that they had intent or knowledge of the offences or were purposefully indifferent to their obligations."" She also addressed the crown submission that all the ALS directors were previously the directors of a defunct company that was convicted of fisheries offences in 2006, sentenced to pay fines of over $600,000 but discontinued operations and never paid its fines. ""I accept the Crown's submission that this is relevant to the need for specific deterrence and speaks to the effectiveness of corporate fines alone as deterrents. However, the fact that DFO holds the Ivy Lew as security makes it likely that any fine against ALS will be paid."" Reporter Paul Withers is an award-winning journalist whose career started in the 1970s as a cartoonist. He has been covering Nova Scotia politics for more than 20 years. Add some “good” to your morning and evening. Get the latest top stories from across Nova Scotia in your inbox every weekday. The next issue of CBC Nova Scotia newsletter will soon be in your inbox.Discover all CBC newsletters in the Subscription Centre. This site is protected by reCAPTCHA and the Google Privacy Policy and Google Terms of Service apply. Audience Relations, CBC P.O. Box 500 Station A Toronto, ON  Canada, M5W 1E6  Toll-free (Canada only):  1-866-306-4636 It is a priority for CBC to create products that are accessible to all in Canada including people with visual, hearing, motor and cognitive challenges. Closed Captioning and Described Video is available for many CBC shows offered on CBC Gem. ",2023-09-13
Vessel caught misreporting catch amount,Google,"Move the IUU Fight Up the Food Chain | Proceedings - November 2023 Vol. 149/11/1,449",,2023-10-31
Vessel caught misreporting catch amount,Google,Surprise! Media is misreporting the source of a Dutch cargo ship fire," Early this morning, the Fremantle Highway, a vehicle carrying cargo ship, caught fire in the North Sea, off the coast of Ameland in the Netherlands. The fire has killed one person on board and injured several more, though all 23 crew members have at this point been evacuated from the ship. Currently, the fire is still burning and the cause of the fire is unknown, according to the Dutch Coast Guard, which is carrying out the firefighting operation. But media reports, seeming to all crib from the same misquote, would have you think otherwise. The Fremantle Highway is a “roll-on/roll-off,” or “RoRo,” ship, a vehicle carrier designed for cars to drive on and off of it in loading and unloading. According to early reports, it was carrying 2,832 gas-powered cars, complete with a large amount of volatile energy stored in their collective gas tanks (some is needed to drive on and off of the ship) and in the tank of the ship itself, and 25 electric cars, from Germany to Egypt (those numbers have now been updated to 3,783 cars, including 498 EVs – which shows the peril of reporting on things like this with incomplete information). Naturally, the media seems to have taken one statement from the Dutch Coast Guard and misinterpreted it, jumping to exactly the premature conclusion that you probably did when you saw this headline pop up. An early article about the cargo ship fire quoted Lea Versteeg, a spokesperson for the Dutch Coast Guard, as having made this statement over the phone: It’s carrying cars, 2,857, of which 25 are electrical cars, which made the fire even more difficult. It’s not easy to keep that kind of fire under control and even in such a vessel it’s not easy. This quote seems reasonable. We’re not sure who made the phone call, but since it’s in the Associated Press article, we suspect they might be the first who got this statement directly from Versteeg’s mouth. What the quote seems to mean is that in a ship full of vehicles, each of which is carrying their own at least partially full energy storage container (whether that be a gas tank or a battery), it’s going to be hard to put out a fire because there is a lot of fuel available for that fire. Further, given that there is a mix of fuels, it’s hard to pick a single tactic to put all of them out at once, because firefighting methods are different for different types of fires. What the quote clearly doesn’t mean is that the Coast Guard is blaming this fire on an electric car. And how do we know that? Well, we called their media line and asked them. And they told us that, no, they have not made a statement to that effect, because they don’t know the cause of the fire yet, and that this seems to be speculation in the media. We also checked the Dutch Coast Guard’s liveblog about the firefighting efforts, and their Twitter page, and neither said anything about electric cars. In fact, the liveblog has now been updated to say “the cause of the fire is still unknown.” And it makes sense that the Coast Guard would not know yet what the source of the fire is, and it would be unprofessional of them to say so, given that the fire isn’t even contained yet. But NOS, the Dutch public broadcaster, cites a “Coast Guard spokesperson” as saying that presumably the fire was started by an EV. But unlike AP, NOS does not name the spokesperson nor does it have a direct quote from said spokesperson. So we really don’t know whether NOS talked to a spokesperson, or is cribbing from the Versteeg quote above – and changing its meaning in the process. And several other articles have run with this mysteriously unsourced quote, which conflicts with the Coast Guard’s actual statement, putting this nonexistent suspicion into their headlines. Reuters echoed NOS’s statement in its original article on the fire, but in a more recent article, it has now walked that back, stating “the coastguard said on its website that the cause of the fire was unknown, but a coastguard spokesperson had earlier told Reuters it began near an electric car” (emphasis ours). And various more-ideological publications, especially those associated with climate denial, are leaning hard into claiming an EV is the cause as well. So let’s take stock: Given this information, we must conclude that this is being misreported based on the evidence available at the time of publication. This is unfortunately not the first time we’ve seen something like this happen. Just off the top of my head: One thing we do know is that cargo ship fires are not uncommon, with hundreds happening last year. We also know that another cargo ship carrying ~1,200 gas cars (and zero electric) caught fire earlier this month in New Jersey, killing two. And we know that gasoline is literally supposed to combust, that’s its entire purpose, and it does, commonly, since gas cars are more likely to catch fire than EVs are, with hundreds of thousands of gas car fires every year in the US, virtually none of which get reported. And yet, you probably have a strong association in your subconscious between fires and electric cars. This association is why events like the aforementioned reporting on the 1,200-car ship had to specifically mention that “there were no electric cars on board.” Because the last time a ship made headlines for burning, it was one that had a lot of electric cars on board (and notably also several gas-powered Lamborghini Aventadors, which have been recalled for fires). And despite burning ships being a not-uncommon event, this one made so many headlines precisely because of the nature of the electric cars on board. That event also had several early reports laying blame on said electric cars, but that was also early speculation, by media, never by official authorities, and the cause of that fire is still unclear to this day. But the association remains. There is a concept in journalism that is summarized as “Man Bites Dog.” The saying goes that you would never report on a dog biting a man, because that’s a common occurrence, but if a man bites a dog, well, that’s interesting and rare, so that belongs in the paper. What this means is that news tends to magnify rare events, and de-emphasize common ones. And in our media-saturated landscape, where everyone is constantly being bombarded by headlines that they don’t have the time or inclination to analyze (thank you to the ~.1% of people who saw the headline and actually clicked and read through to this sentence), this leads people to have a warped view of the commonality of certain events. Unfortunately, in writing this article, we have become part of the problem. By posting about fires in an electric vehicle publication, we have created an association in the minds of anyone who sees this headline between electric cars and fires. Sure the media has jumped well ahead of the facts.  That said this article is a weird kind of overcompensation with its own assumptions and errors  So let's talk about shipping industry practice which is to severely restrict the transport of electric vehicles on Ro-Ro.  (I've dealt with this personally trying to ship a vehicle transatlantic).  They continue to be very concerned about the difficulties of extinguishing lithium battery fires since the procedures and equipment are still in their infancy.  Those involved in industrial safety knows that safety is a bunch of layers of protection.  Frequency (the only one mentioned by the author), is only one consideration in assessing overall risk. Which is why persistent associations like these are so hard to shake. Even the debunking itself can reinforce the association, through a concept known as the “backfire effect.” Unfortunately, there is no single magic bullet to combat this. But being aware of the problem helps us confront it in our own brains, and here are some better media consumption practices we can follow: And that goes double for journalists. This is your job, that phone call to the press line took all of a minute of my time to clear that up. The tweet was another couple minutes to find because I had to search for “kustwacht” instead of “Coast Guard.” The liveblog was a few minutes because it was slammed with more traffic than the Dutch Coast Guard usually has to deal with. None of this took longer than the amount of time it takes to write an article… but it did take longer than it takes to react with a 140-character quip via tweet. And thus, as the famous saying goes, “the lie travels halfway around the world while the truth is still putting on its shoes” (which, fittingly, is another misquote – Twain didn’t say it). FTC: We use income earning auto affiliate links. More. Subscribe to Electrek on YouTube for exclusive videos and subscribe to the podcast. Jameson has been driving electric vehicles since 2009, and has been writing about them and about clean energy for electrek.co since 2016. You can contact him at jamie@electrek.co 
										Use our Aptera Referral Code for $30 off a reservation for the upcoming Aptera electric vehicle.									 Manage push notifications",2023-07-26
Vessel caught misreporting catch amount,Google,Sea Shepherd Global," Monday, 25 Mar, 2024 In a decisive strike against illegal fishing, The Gambia Navy, supported by Sea Shepherd's vessel Age of Union, apprehended eight industrial trawlers off the coast of The Gambia for severe violations of fisheries laws. On the 8th of March, armed maritime interdiction units with The Gambia Navy were deployed from the Sea Shepherd ship Age of Union in a law enforcement sweep that netted eight industrial trawlers for serious fisheries offenses ranging from fishing inside of protected waters, fishing without a valid license, using undersized mesh size and misreporting catch. The series of arrests occurred over a 24-hour period, as Gambia Navy sailors launched a coordinated sting operation based on weeks of intelligence gathering by the Ministry of Defense in the West African country of The Gambia. Fishing vessels Majilac 03, Majilac 05, Majilac 06, Majilac 07, Zherui 100612, Hao Yun 1, Hao Yun 2 and Hai Hao 2 were all caught in the bust and are presently detained in the Port of Banjul. Seven of the eight vessels were arrested for fishing inside of a Special Management Area reserved for artisanal fishermen, and where industrial fishing is outlawed. Four of the vessels were using fishing nets with undersized mesh size. 
                “The Gambia implements mesh size requirements to ensure that undersized and juvenile fish can escape, thereby conserving fish populations to mitigate overfishing. But at-sea patrols are needed to ensure compliance as well as deterring industrial trawlers from entering protected areas.”
             The waters of The Gambia are particularly rich in biodiversity as the country is positioned where the nutrient-rich Gambia River meets the Canary Current. The livelihoods of over 300,000 Gambians are directly or indirectly dependent on local fisheries while the United Nations Food and Agriculture Organization (UN FAO) believes that more than 46% of the assessed fish populations in the Eastern Central Atlantic are experiencing overfishing. Sardinella and other small pelagic species are of critical importance to Gambians which is why the government instituted a twelve-nautical mile Special Management Area to conserve waters frequented by artisanal fishermen. However, industrialized trawlers routinely come close to the shoreline where small-scale fishers regularly see the fishing lights from beach communities. The Ministry of Defense often receives reports from artisanal fishermen about trawlers fishing in no-go zones. Populations of sardinella are also rapidly declining due to these daily incursions as industrialized trawlers take far more fish than fishers in paddle canoes can. None of the arrested vessels were transmitting their position using their automatic identification system, a mandatory transponder that allows law enforcement to track vessel movements. 
                “Sea Shepherd commends the actions of The Gambian government in taking strong action against industrial trawlers that circumvent laws, fishing in protected areas and jeopardizing the livelihoods of local communities. Since the arrests, our captain and crew are reporting that all other industrialized trawlers are keeping outside of the Special Management Area, where The Gambia Navy continues to stand watch from Age of Union.”
             Operation Gambian Coastal Defense is a unique partnership with the government of The Gambia that started in 2019 to conduct joint at sea patrols to combat illegal, unreported and unregulated (IUU) fishing. Since 2016, Sea Shepherd has worked in partnership with the governments of Gabon, Liberia, Sierra Leone, São Tomé and Príncipe, Tanzania, Benin, Namibia and The Gambia to combat IUU fishing by providing the use of civilian offshore patrol vessels to African coastal and island States so that authorities can enforce fisheries regulations and conservation laws in their sovereign waters. To date, the unique partnerships have resulted in the arrest of 96 vessels for illegal fishing and other fisheries crimes. Scroll down to watch the arrest video! Monday, 17 Jun, 2024 Wednesday, 05 Jun, 2024 Monday, 03 Jun, 2024 Thursday, 07 Dec, 2023 Friday, 27 Oct, 2023 Tuesday, 26 Sep, 2023 Wednesday, 13 Sep, 2023 Thursday, 31 Aug, 2023 Monday, 28 Aug, 2023 Get Involved Contribute Shop",2024-03-25
Vessel caught misreporting catch amount,Google,Northwest NDP MP slams Liberal government over foreign ownership of B.C. fishing licences,"  Sign In  Subscribe Now Skeena-Bulkley Valley MP Taylor Bachrach slammed the Liberal government this week over the need to reform west coast fisheries. The NDP Member of Parliament was met with applause over the ongoing controversy surrounding the monopolization of B.C.’s fishing industry and foreign ownership. “Commercial fishing licences shouldn’t be treated like a private stock market controlled by big corporations,” he said. In 2019, the Committee on Fisheries and Oceans put forward 20 recommendations to reform the way commercial fishing licences and quotas are distributed in B.C. The aim was to address concerns of monopolization – including limiting ownership by foreign investors who may have never stepped on a fishing boat. Liberal MP Ken Hardie described the current commercial fishing system in B.C. as “a modern-day feudal system.” Central to the discussion is the Individual Transferrable Quota System (ITQ), which is a transferable quota of fish, meaning that the owner can either fill the quota by fishing, or sell the quota to someone else. Only Canadian citizens or permanent residents can have fishing licences, but foreign companies are allowed to buy and sell ITQs without government interference. It turns out that buying and selling ITQs is very profitable. In 2015 for example, halibut ITQs were leased out for $7-9/lb when the actual price of the fish was $8.25-9.50/lb. This means that owners took over 85 per cent of the total value, leaving fishermen with incredibly small profits to pay their crews, maintain their ships and buy supplies. Also central to the issue is a declining population of salmon thanks to compounding problems such as climate change and habitat loss, according to the 2019 report State of Canadian Pacific Salmon. Despite the 2019 recommendations, the Liberal government has not implemented a single change,” Bachrach said. “There’s a huge opportunity here, Mr. Speaker, for people, for communities. We need the political will to get this done.” In 2007, the Stephen Harper government reformed its Atlantic fisheries to ensure that the benefits of licences stay with the fish harvesters and the communities where they live. Some changes enacted in 2007 include immediate inspection for vessels caught misreporting their catch and sanctions for vessel owners such as fines or suspension of licences or seizing fishing gear or the illegal catch. Bachrach is hoping that similar changes are applied in B.C. “The maximum value of the fish that get caught should go to the people that do the work and B.C.’s catch should be processed in B.C. communities,” he said. READ MORE: Commercial harvesters “financially devastated” UFAWU-Unifor online survey finds   editor@interior-news.comLike us on Facebook and follow us on Twitter  Dialogue and debate are integral to a free society and we welcome and encourage you to share your views on the issues of the day. We ask that you be respectful of others and their points of view, refrain from personal attacks and stay on topic. To learn about our commenting policies and how our community-based moderation works, please read our Community Guidelines.",2022-11-23
